member_id,first_name,last_name,gender,date_of_birth,email,phone,address,membership_type,membership_price_eur,registration_date,status,referred_by_member_id
31,Valdas,Kazlauskas,M,1990-05-16,valdas.kazlauskas.31@yahoo.com,+370 680 49383,"Gedimino pr. 113, Panevezys",VIP,90,2018-04-28,Active,882
32,Tomas,Taylor,M,1993-11-14,tomas.taylor.32@hotmail.com,+370 609 31710,"Energijos g. 30, Alytus",Day Pass,8,2018-05-26,Active,
33,Luna,Daugirdas,F,1969-01-30,luna.daugirdas.33@mail.com,+370 662 37315,"Cempiony g. 110, Kaunas",Day Pass,8,2022-02-22,Active,
34,Aiden,Garcia,M,1972-10-14,aiden.garcia.34@yahoo.com,+370 622 99981,"Vilniaus g. 22, Jonava",Corporate,55,2019-07-06,Inactive,
35,Gintaras,Paulauskas,M,1988-07-12,gintaras.paulauskas.35@mail.com,+370 609 41669,"Vilniaus g. 42, Utena",Family,75,2020-07-17,Active,
36,Rytis,Garcia,M,1993-03-01,rytis.garcia.36@outlook.com,+370 624 16549,"Olimpieciu g. 38, Klaipeda",Basic,25,2018-05-02,Active,
37,Aiste,Gruciunas,F,1988-10-15,aiste.gruciunas.37@gmail.com,+370 620 55163,"Savanoriu pr. 19, Panevezys",VIP,90,2021-04-24,Inactive,
38,Julius,Petrauskas,M,1966-03-22,julius.petrauskas.38@gmail.com,+370 648 12367,"Zalgirio g. 41, Marijampole",VIP,90,2021-12-24,Active,315
39,Tomas,Kazlauskas,M,1972-11-22,tomas.kazlauskas.39@outlook.com,+370 697 19235,"Olimpieciu g. 1, Marijampole",VIP,90,2020-05-17,Active,893
40,Liam,Davis,M,1997-08-11,liam.davis.40@hotmail.com,+370 698 83297,"Olimpieciu g. 34, Alytus",Corporate,55,2022-02-23,Active,
41,Saulius,Rimkus,M,1975-12-04,saulius.rimkus.41@outlook.com,+370 679 23430,"Vilniaus g. 113, Panevezys",Basic,25,2018-09-21,Active,
42,Arturas,Stonkus,M,1994-11-02,arturas.stonkus.42@outlook.com,+370 609 60256,"Laisves al. 95, Vilnius",Day Pass,8,2022-12-27,Active,
43,Daiva,Garcia,F,1998-11-07,daiva.garcia.43@mail.com,+370 688 80069,"Laisves al. 118, Panevezys",Day Pass,8,2021-08-07,Suspended,
44,Mantas,Gruciunas,M,1977-07-20,mantas.gruciunas.44@mail.com,+370 610 12600,"Gedimino pr. 73, Kaunas",Corporate,55,2023-02-02,Active,
45,Egle,Cesnavicius,F,2004-08-14,egle.cesnavicius.45@gmail.com,+370 641 38582,"Kauno g. 86, Kaunas",Monthly,35,2024-07-29,Active,881
46,Viktorija,Miller,F,1971-01-19,viktorija.miller.46@gmail.com,+370 639 34213,"Savanoriu pr. 50, Kaunas",Premium,65,2021-03-20,Inactive,1079
47,Vaida,Davis,F,1997-08-15,vaida.davis.47@gmail.com,+370 695 89285,"Laisves al. 33, Mazeikiai",Student,20,2019-10-11,Inactive,
48,Ieva,Tamosiunas,F,1974-10-04,ieva.tamosiunas.48@outlook.com,+370 664 43155,"Olimpieciu g. 24, Mazeikiai",Student,20,2023-08-17,Inactive,
49,Erikas,Rimkus,M,1970-10-11,erikas.rimkus.49@mail.com,+370 666 19250,"Kauno g. 72, Marijampole",VIP,90,2023-08-21,Active,
50,Erikas,Brown,M,2000-03-26,erikas.brown.50@gmail.com,+370 654 21589,"Savanoriu pr. 59, Kaunas",Monthly,35,2022-06-25,Inactive,400
51,Ethan,Paulauskas,M,1978-05-27,ethan.paulauskas.51@outlook.com,+370 690 50698,"Pylimo g. 106, Jonava",Standard,40,2020-02-25,Active,
52,Mantas,Daugirdas,M,1970-01-02,mantas.daugirdas.52@yahoo.com,+370 638 63020,"Zalgirio g. 65, Vilnius",Basic,25,2021-08-18,Suspended,
53,Jurgita,Balciunas,F,1992-08-28,jurgita.balciunas.53@gmail.com,+370 689 52609,"Cempiony g. 117, Jonava",VIP,90,2021-12-02,Active,
54,Logan,Butkus,M,2001-05-18,logan.butkus.54@hotmail.com,+370 620 89132,"Zalgirio g. 72, Klaipeda",Monthly,35,2023-11-13,Active,
55,Aiste,Kazlauskas,F,1992-03-06,aiste.kazlauskas.55@hotmail.com,+370 605 18952,"Sveikatos g. 41, Jonava",Senior,22,2024-08-27,Active,
56,Viktorija,Balciunas,F,1979-10-03,viktorija.balciunas.56@outlook.com,+370 654 36039,"Olimpieciu g. 21, Vilnius",Day Pass,8,2019-02-16,Active,190
57,Ramute,Cesnavicius,F,2003-12-01,ramute.cesnavicius.57@mail.com,+370 682 59457,"Vilniaus g. 14, Siauliai",Day Pass,8,2024-02-07,Active,
58,Simona,Jankauskas,F,1976-09-28,simona.jankauskas.58@outlook.com,+370 675 41050,"Energijos g. 16, Utena",Basic,25,2019-02-08,Active,
59,Luna,Kavaliauskas,F,1983-04-18,luna.kavaliauskas.59@yahoo.com,+370 636 96702,"Gedimino pr. 71, Jonava",Premium,65,2019-06-13,Active,
60,Gintaras,Cesnavicius,M,1988-06-28,gintaras.cesnavicius.60@hotmail.com,+370 695 60318,"Laisves al. 108, Alytus",Premium,65,2024-03-12,Active,1008
61,Tautvydas,Smith,M,1967-12-23,tautvydas.smith.61@mail.com,+370 604 26628,"Sporto g. 104, Kaunas",Student,20,2023-08-10,Active,
62,James,Taylor,M,1980-12-08,james.taylor.62@yahoo.com,+370 692 12044,"Sporto g. 26, Jonava",Basic,25,2024-01-03,Active,
63,Emma,Williams,F,1965-02-21,emma.williams.63@yahoo.com,+370 681 66547,"Pylimo g. 114, Klaipeda",Basic,25,2020-06-06,Active,
64,Inga,Miller,F,1992-04-23,inga.miller.64@gmail.com,+370 687 42658,"Energijos g. 51, Alytus",Basic,25,2018-03-27,Active,
65,Mia,Vasiliauskas,F,1977-10-01,mia.vasiliauskas.65@yahoo.com,+370 688 14182,"Zalgirio g. 74, Alytus",Senior,22,2024-06-08,Active,
66,Oliver,Cesnavicius,M,1995-05-10,oliver.cesnavicius.66@hotmail.com,+370 610 61007,"Cempiony g. 53, Panevezys",Premium,65,2020-12-17,Active,
67,Jurgita,Kazlauskas,F,1989-12-23,jurgita.kazlauskas.67@yahoo.com,+370 622 98386,"Cempiony g. 108, Vilnius",Basic,25,2019-12-06,Inactive,456
68,Vaida,Urbonas,F,1982-08-25,vaida.urbonas.68@outlook.com,+370 647 31747,"Gedimino pr. 20, Jonava",Family,75,2022-01-08,Active,
69,Ava,Miller,F,1986-08-05,ava.miller.69@yahoo.com,+370 688 90881,"Gedimino pr. 65, Marijampole",Premium,65,2021-07-28,Active,
70,Lucas,Stonkus,M,1974-07-06,lucas.stonkus.70@hotmail.com,+370 642 65512,"Sveikatos g. 41, Alytus",Standard,40,2023-08-11,Inactive,
71,Mantas,Paulauskas,M,1993-03-15,mantas.paulauskas.71@yahoo.com,+370 691 63420,"Kauno g. 44, Kaunas",Family,75,2020-10-10,Active,116
72,James,Tamosiunas,M,1982-01-13,james.tamosiunas.72@mail.com,+370 600 33919,"Olimpieciu g. 72, Marijampole",Student,20,2020-05-31,Active,
73,Kristina,Kavaliauskas,F,1998-01-18,kristina.kavaliauskas.73@hotmail.com,+370 672 59070,"Cempiony g. 108, Klaipeda",Monthly,35,2019-11-22,Suspended,
74,Neringa,Zukauskas,F,1985-05-24,neringa.zukauskas.74@outlook.com,+370 668 68548,"Energijos g. 60, Kaunas",Corporate,55,2023-10-26,Active,
75,Egle,Stankevicius,F,1980-06-30,egle.stankevicius.75@outlook.com,+370 607 35601,"Pylimo g. 113, Kaunas",Basic,25,2023-06-30,Active,
76,Renata,Taylor,F,1998-11-07,renata.taylor.76@yahoo.com,+370 617 38927,"Vilniaus g. 3, Alytus",Standard,40,2018-01-02,Active,
77,Lukas,Jones,M,1974-01-02,lukas.jones.77@mail.com,+370 626 37965,"Sveikatos g. 97, Vilnius",VIP,90,2018-06-09,Active,542
78,Jolanta,Miller,F,1981-06-14,jolanta.miller.78@gmail.com,+370 682 69226,"Laisves al. 22, Utena",Senior,22,2021-11-21,Active,
79,Lucas,Davis,M,1982-12-10,lucas.davis.79@hotmail.com,+370 642 95711,"Vilniaus g. 101, Mazeikiai",Senior,22,2021-03-02,Active,
80,Tautvydas,Kazlauskas,M,1976-06-09,tautvydas.kazlauskas.80@gmail.com,+370 603 65670,"Cempiony g. 119, Alytus",Monthly,35,2024-01-05,Active,
81,Mindaugas,Jonauskas,M,1981-02-06,mindaugas.jonauskas.81@outlook.com,+370 640 44774,"Savanoriu pr. 22, Utena",Monthly,35,2022-02-05,Active,
82,Harper,Taylor,F,1989-02-27,harper.taylor.82@gmail.com,+370 610 99240,"Kauno g. 15, Alytus",Standard,40,2018-11-19,Active,
83,Lina,Davis,F,1976-01-07,lina.davis.83@mail.com,+370 650 32004,"Olimpieciu g. 1, Alytus",Premium,65,2018-08-09,Active,
84,Vaida,Tamosiunas,F,1997-12-24,vaida.tamosiunas.84@mail.com,+370 685 13001,"Olimpieciu g. 8, Klaipeda",Premium,65,2020-01-03,Inactive,725
85,Simona,Petrauskas,F,1971-02-21,simona.petrauskas.85@yahoo.com,+370 640 41343,"Gedimino pr. 32, Panevezys",Senior,22,2021-03-24,Active,
86,Mason,Daugirdas,M,1968-10-06,mason.daugirdas.86@mail.com,+370 687 35277,"Zalgirio g. 63, Marijampole",Premium,65,2024-04-12,Active,
87,Arturas,Taylor,M,1984-03-16,arturas.taylor.87@yahoo.com,+370 657 39716,"Vilniaus g. 67, Vilnius",Corporate,55,2023-09-19,Active,
88,Neringa,Garcia,F,1998-01-18,neringa.garcia.88@gmail.com,+370 622 14103,"Kauno g. 35, Marijampole",Standard,40,2020-04-20,Active,179
89,Tomas,Paulauskas,M,1968-12-06,tomas.paulauskas.89@gmail.com,+370 692 45278,"Zalgirio g. 100, Alytus",Standard,40,2019-05-21,Active,790
90,Valdas,Zukauskas,M,1986-01-17,valdas.zukauskas.90@gmail.com,+370 645 32816,"Cempiony g. 40, Panevezys",Day Pass,8,2020-03-13,Active,
91,Oliver,Butkus,M,1966-12-31,oliver.butkus.91@yahoo.com,+370 678 71233,"Laisves al. 35, Jonava",Day Pass,8,2023-10-12,Active,
92,Rytis,Petrauskas,M,1972-05-01,rytis.petrauskas.92@yahoo.com,+370 625 27087,"Pylimo g. 81, Marijampole",Standard,40,2023-05-23,Inactive,
93,Ruta,Garcia,F,1975-11-12,ruta.garcia.93@mail.com,+370 602 98730,"Energijos g. 57, Utena",Day Pass,8,2020-05-05,Inactive,
94,Ava,Gruciunas,F,1976-05-21,ava.gruciunas.94@hotmail.com,+370 668 55124,"Sporto g. 97, Siauliai",Corporate,55,2023-10-27,Active,
95,Aiden,Vasiliauskas,M,1968-01-25,aiden.vasiliauskas.95@mail.com,+370 616 78608,"Energijos g. 54, Panevezys",Premium,65,2018-10-13,Active,
96,Ramute,Zukauskas,F,1995-02-07,ramute.zukauskas.96@mail.com,+370 625 76731,"Cempiony g. 33, Alytus",Monthly,35,2022-01-19,Active,317
97,Jolanta,Gruciunas,F,2003-03-17,jolanta.gruciunas.97@yahoo.com,+370 626 97563,"Vilniaus g. 36, Siauliai",Premium,65,2023-03-13,Active,
98,Noah,Garcia,M,1986-08-23,noah.garcia.98@outlook.com,+370 658 32678,"Kauno g. 119, Utena",Premium,65,2024-06-02,Active,
99,Arnas,Stonkus,M,1977-07-31,arnas.stonkus.99@hotmail.com,+370 696 26705,"Energijos g. 69, Panevezys",Senior,22,2018-03-14,Active,
100,Donatas,Jones,M,1988-01-07,donatas.jones.100@outlook.com,+370 624 30457,"Gedimino pr. 102, Jonava",Monthly,35,2024-06-04,Active,215
101,Inga,Johnson,F,1987-09-08,inga.johnson.101@hotmail.com,+370 600 90266,"Laisves al. 59, Utena",Monthly,35,2022-06-23,Inactive,
102,Lina,Jonauskas,F,1979-07-12,lina.jonauskas.102@gmail.com,+370 620 41985,"Cempiony g. 37, Utena",Basic,25,2019-02-26,Active,469
103,Isabella,Petrauskas,F,1978-11-11,isabella.petrauskas.103@hotmail.com,+370 632 17481,"Pylimo g. 27, Utena",Family,75,2020-06-13,Inactive,782
104,Edvinas,Cesnavicius,M,1995-12-03,edvinas.cesnavicius.104@hotmail.com,+370 638 23938,"Laisves al. 114, Kaunas",Premium,65,2024-12-29,Active,
105,Simona,Paulauskas,F,2002-02-09,simona.paulauskas.105@yahoo.com,+370 665 48319,"Sporto g. 26, Jonava",Standard,40,2023-08-29,Active,
106,Monika,Cesnavicius,F,2005-03-31,monika.cesnavicius.106@yahoo.com,+370 657 27803,"Cempiony g. 30, Klaipeda",Monthly,35,2024-08-09,Active,
107,Vaida,Wilson,F,1981-10-07,vaida.wilson.107@mail.com,+370 605 38022,"Sporto g. 67, Jonava",Senior,22,2022-04-04,Active,875
108,Oliver,Butkus,M,1969-03-10,oliver.butkus.108@hotmail.com,+370 661 12421,"Kauno g. 29, Kaunas",Monthly,35,2022-12-15,Inactive,796
109,Darius,Smith,M,1975-01-24,darius.smith.109@outlook.com,+370 689 18330,"Energijos g. 99, Utena",Family,75,2021-07-06,Active,
110,Ethan,Butkus,M,1983-07-09,ethan.butkus.110@yahoo.com,+370 601 51325,"Sveikatos g. 42, Siauliai",Family,75,2024-03-26,Suspended,
111,Gintaras,Tamosiunas,M,1978-04-08,gintaras.tamosiunas.111@hotmail.com,+370 686 30615,"Gedimino pr. 10, Utena",Senior,22,2023-02-27,Active,
112,Aldona,Miller,F,1978-01-04,aldona.miller.112@gmail.com,+370 660 34396,"Pylimo g. 111, Panevezys",Basic,25,2023-03-13,Inactive,
113,Kristina,Petrauskas,F,1973-09-01,kristina.petrauskas.113@mail.com,+370 675 61955,"Gedimino pr. 26, Utena",Monthly,35,2021-01-07,Active,
114,Aldona,Vasiliauskas,F,1974-09-20,aldona.vasiliauskas.114@hotmail.com,+370 664 24412,"Sporto g. 92, Utena",Corporate,55,2019-11-02,Active,
115,Lukas,Jones,M,1988-09-13,lukas.jones.115@yahoo.com,+370 632 27878,"Olimpieciu g. 19, Vilnius",Family,75,2019-09-25,Active,
116,Jurgita,Garcia,F,1973-11-30,jurgita.garcia.116@outlook.com,+370 612 77656,"Sporto g. 116, Vilnius",Corporate,55,2022-04-16,Active,
117,James,Garcia,M,1970-09-28,james.garcia.117@yahoo.com,+370 655 77216,"Gedimino pr. 44, Jonava",Basic,25,2021-07-28,Active,
118,Ava,Wilson,F,2002-11-20,ava.wilson.118@gmail.com,+370 644 85723,"Cempiony g. 22, Utena",VIP,90,2022-03-01,Inactive,
119,Lucas,Petrauskas,M,1989-06-22,lucas.petrauskas.119@outlook.com,+370 632 29426,"Cempiony g. 10, Siauliai",Family,75,2021-12-13,Active,
120,Gintare,Balciunas,F,1968-10-11,gintare.balciunas.120@outlook.com,+370 664 22881,"Sporto g. 29, Klaipeda",Family,75,2024-11-22,Active,
121,Sophia,Stankevicius,F,1979-08-14,sophia.stankevicius.121@hotmail.com,+370 609 37938,"Energijos g. 98, Mazeikiai",Student,20,2023-09-18,Inactive,
122,Emma,Williams,F,1989-04-29,emma.williams.122@hotmail.com,+370 680 25875,"Energijos g. 2, Klaipeda",Student,20,2024-07-26,Inactive,
123,Aiden,Paulauskas,M,1980-06-13,aiden.paulauskas.123@mail.com,+370 681 60287,"Cempiony g. 58, Klaipeda",Corporate,55,2023-09-27,Active,690
124,Harper,Garcia,F,1985-02-22,harper.garcia.124@gmail.com,+370 643 61641,"Vilniaus g. 114, Siauliai",Basic,25,2019-05-18,Suspended,
125,Aiden,Vasiliauskas,M,1991-01-28,aiden.vasiliauskas.125@mail.com,+370 643 85673,"Kauno g. 24, Siauliai",Standard,40,2018-07-31,Active,
126,Arturas,Petrauskas,M,1991-03-18,arturas.petrauskas.126@hotmail.com,+370 657 43916,"Cempiony g. 48, Siauliai",Basic,25,2018-07-09,Active,
127,Lina,Brown,F,2002-09-20,lina.brown.127@yahoo.com,+370 613 54115,"Gedimino pr. 1, Kaunas",Student,20,2024-07-04,Inactive,99
128,Viktorija,Paulauskas,F,1989-03-30,viktorija.paulauskas.128@yahoo.com,+370 644 67878,"Energijos g. 53, Klaipeda",Standard,40,2024-05-03,Inactive,
129,Julius,Mackevicius,M,1982-03-07,julius.mackevicius.129@mail.com,+370 677 78167,"Kauno g. 94, Mazeikiai",Student,20,2023-02-15,Active,
130,Rokas,Butkus,M,1990-12-21,rokas.butkus.130@outlook.com,+370 656 78397,"Vilniaus g. 39, Panevezys",Family,75,2024-04-09,Inactive,
131,Viktorija,Mackevicius,F,1969-05-03,viktorija.mackevicius.131@hotmail.com,+370 686 86641,"Kauno g. 99, Mazeikiai",Basic,25,2021-05-03,Active,
132,Donatas,Zukauskas,M,1982-07-13,donatas.zukauskas.132@yahoo.com,+370 606 13589,"Sveikatos g. 64, Utena",Corporate,55,2019-01-31,Active,
133,Lukas,Stankevicius,M,1967-08-18,lukas.stankevicius.133@mail.com,+370 639 41645,"Olimpieciu g. 34, Alytus",Corporate,55,2021-07-18,Active,
134,Gintare,Stankevicius,F,1970-06-01,gintare.stankevicius.134@yahoo.com,+370 670 35193,"Olimpieciu g. 81, Vilnius",Premium,65,2023-03-02,Inactive,1091
135,Liam,Jonauskas,M,1971-09-27,liam.jonauskas.135@gmail.com,+370 646 54414,"Vilniaus g. 15, Kaunas",Premium,65,2021-04-27,Inactive,746
136,Ramute,Taylor,F,2004-05-29,ramute.taylor.136@outlook.com,+370 668 21335,"Energijos g. 52, Kaunas",Senior,22,2020-02-15,Active,
137,Tautvydas,Davis,M,1990-01-16,tautvydas.davis.137@hotmail.com,+370 659 55654,"Laisves al. 52, Klaipeda",Senior,22,2019-03-06,Active,
138,Kristina,Stonkus,F,1992-05-04,kristina.stonkus.138@outlook.com,+370 615 25792,"Energijos g. 85, Klaipeda",VIP,90,2022-11-24,Active,
139,Viktorija,Garcia,F,2005-04-22,viktorija.garcia.139@gmail.com,+370 676 50526,"Gedimino pr. 1, Kaunas",Day Pass,8,2022-12-24,Active,
140,Valdas,Vaitkevicius,M,2002-02-02,valdas.vaitkevicius.140@hotmail.com,+370 615 80466,"Olimpieciu g. 19, Mazeikiai",Monthly,35,2021-06-21,Active,
141,Neringa,Butkus,F,2002-07-07,neringa.butkus.141@gmail.com,+370 633 14981,"Laisves al. 7, Marijampole",Basic,25,2019-06-23,Inactive,817
142,Erikas,Butkus,M,1996-01-14,erikas.butkus.142@outlook.com,+370 675 25833,"Sveikatos g. 33, Vilnius",Senior,22,2020-07-15,Active,283
143,Emma,Daugirdas,F,1995-12-16,emma.daugirdas.143@mail.com,+370 623 69829,"Laisves al. 15, Vilnius",Corporate,55,2018-01-30,Active,
144,Noah,Jankauskas,M,2004-05-10,noah.jankauskas.144@outlook.com,+370 641 13559,"Pylimo g. 39, Siauliai",Family,75,2023-02-26,Active,
145,Isabella,Petrauskas,F,1967-07-27,isabella.petrauskas.145@mail.com,+370 679 51196,"Olimpieciu g. 77, Utena",Day Pass,8,2024-10-20,Active,84
146,Rokas,Mackevicius,M,1977-10-30,rokas.mackevicius.146@yahoo.com,+370 688 96096,"Savanoriu pr. 91, Panevezys",Senior,22,2019-12-12,Active,
147,Elijah,Kavaliauskas,M,1986-09-28,elijah.kavaliauskas.147@yahoo.com,+370 653 49703,"Cempiony g. 42, Vilnius",Basic,25,2023-09-01,Active,
148,Edvinas,Vaitkevicius,M,1982-09-15,edvinas.vaitkevicius.148@outlook.com,+370 655 79130,"Savanoriu pr. 67, Utena",VIP,90,2022-05-13,Active,
149,Rokas,Vaitkevicius,M,2002-08-14,rokas.vaitkevicius.149@yahoo.com,+370 676 61585,"Energijos g. 79, Mazeikiai",Standard,40,2018-01-24,Active,
150,Aiste,Rimkus,F,2000-10-24,aiste.rimkus.150@gmail.com,+370 614 95734,"Pylimo g. 5, Jonava",Student,20,2023-11-19,Active,
151,Luna,Jones,F,1997-09-17,luna.jones.151@hotmail.com,+370 627 17217,"Olimpieciu g. 95, Klaipeda",Student,20,2020-04-25,Active,
152,Tautvydas,Jonauskas,M,1975-12-08,tautvydas.jonauskas.152@yahoo.com,+370 688 29776,"Pylimo g. 102, Vilnius",Senior,22,2022-11-04,Active,
153,Sophia,Garcia,F,1997-11-06,sophia.garcia.153@outlook.com,+370 682 12837,"Sveikatos g. 106, Siauliai",Standard,40,2020-11-13,Active,
154,Julius,Davis,M,1973-12-19,julius.davis.154@yahoo.com,+370 691 80287,"Sporto g. 119, Kaunas",Corporate,55,2023-12-15,Active,
155,Ignas,Jonauskas,M,1980-12-26,ignas.jonauskas.155@yahoo.com,+370 642 52407,"Gedimino pr. 96, Mazeikiai",Standard,40,2023-02-06,Active,
156,Noah,Johnson,M,1983-09-01,noah.johnson.156@gmail.com,+370 635 80161,"Laisves al. 17, Kaunas",Corporate,55,2020-10-20,Active,289
157,Olivia,Urbonas,F,1992-06-14,olivia.urbonas.157@yahoo.com,+370 666 41777,"Kauno g. 2, Vilnius",Basic,25,2021-11-10,Active,
158,Viktorija,Cesnavicius,F,1994-04-26,viktorija.cesnavicius.158@outlook.com,+370 697 19679,"Gedimino pr. 104, Kaunas",Monthly,35,2023-04-12,Active,910
159,Aria,Brown,F,1990-10-14,aria.brown.159@hotmail.com,+370 649 13297,"Vilniaus g. 106, Alytus",Senior,22,2024-07-30,Active,
160,Neringa,Butkus,F,1976-11-20,neringa.butkus.160@outlook.com,+370 647 91230,"Savanoriu pr. 51, Klaipeda",Senior,22,2022-09-20,Active,
161,Emma,Tamosiunas,F,1967-11-11,emma.tamosiunas.161@hotmail.com,+370 621 80561,"Zalgirio g. 47, Mazeikiai",Family,75,2021-07-12,Active,74
162,Lukas,Taylor,M,1994-09-15,lukas.taylor.162@yahoo.com,+370 651 24470,"Vilniaus g. 10, Alytus",Senior,22,2024-05-11,Inactive,
163,Mason,Kavaliauskas,M,2005-02-11,mason.kavaliauskas.163@outlook.com,+370 658 25382,"Sporto g. 75, Utena",Student,20,2019-08-17,Suspended,
164,Egle,Vaitkevicius,F,1989-05-03,egle.vaitkevicius.164@gmail.com,+370 644 74302,"Pylimo g. 15, Siauliai",Premium,65,2018-02-10,Active,18
165,Ignas,Johnson,M,1977-08-11,ignas.johnson.165@outlook.com,+370 640 82930,"Pylimo g. 114, Siauliai",Standard,40,2024-02-20,Active,
166,Lucas,Brown,M,1991-07-08,lucas.brown.166@mail.com,+370 693 14075,"Kauno g. 104, Jonava",Student,20,2019-01-29,Active,
167,Mantas,Jonauskas,M,2002-02-23,mantas.jonauskas.167@gmail.com,+370 668 25154,"Zalgirio g. 101, Marijampole",VIP,90,2018-07-03,Active,172
168,Gintare,Miller,F,1967-03-18,gintare.miller.168@hotmail.com,+370 630 98562,"Kauno g. 108, Alytus",Standard,40,2023-03-11,Inactive,1118
169,Povilas,Rimkus,M,1975-02-12,povilas.rimkus.169@mail.com,+370 660 76340,"Olimpieciu g. 118, Vilnius",Corporate,55,2019-12-24,Suspended,
